_uid_,gridref,km_sq,record_dat,species,adults,males,females,mating,eggs,larvae,nests,pupae,rec_year,rec_month,rec_day,x,y
1,NN000450,NN0045,25/05/2016,Chequered Skipper,14,,,,,,,,2016,5,25,200050,745050
2,NN000450,NN0045,31/05/2016,Chequered Skipper,18,,,,,,,,2016,5,31,200050,745050
3,NM98624542,NM9845,09/06/2016,Chequered Skipper,1,,,,,,,,2016,6,9,198625,745425
4,NM98664548,NM9845,09/06/2016,Chequered Skipper,1,,,,,,,,2016,6,9,198665,745485
5,NM99544507,NM9945,09/06/2016,Chequered Skipper,1,,,,,,,,2016,6,9,199545,745075
6,NM99594557,NM9945,09/06/2016,Chequered Skipper,1,,,,,,,,2016,6,9,199595,745575
7,NM99674572,NM9945,09/06/2016,Chequered Skipper,1,,,,,,,,2016,6,9,199675,745725
8,NM99764520,NM9945,09/06/2016,Chequered Skipper,1,,,,,,,,2016,6,9,199765,745205
9,NM99814602,NM9946,09/06/2016,Chequered Skipper,1,,,,,,,,2016,6,9,199815,746025
10,NN000454,NN0045,02/06/2016,Chequered Skipper,15,,,,,,,,2016,6,2,200050,745450
11,NN119572,NN1157,03/06/2016,Chequered Skipper,1,,,,,,,,2016,6,3,211950,757250
12,NM71375273,NM7152,08/06/2016,Chequered Skipper,1,,,,,,,,2016,6,8,171375,752735
13,NM996325,NM9932,30/05/2016,Chequered Skipper,3,,,,,,,,2016,5,30,199650,732550
14,NN014461,NN0146,22/05/2016,Chequered Skipper,1,,,,,,,,2016,5,22,201450,746150
15,NN001459,NN0045,29/05/2016,Chequered Skipper,15,,,,,,,,2016,5,29,200150,745950
16,NM999453,NM9945,06/06/2016,Chequered Skipper,15,,,,,,,,2016,6,6,199950,745350
17,NN000453,NN0045,04/06/2016,Chequered Skipper,5,,,,,,,,2016,6,4,200050,745350
18,NN15415018,NN1550,06/06/2016,Chequered Skipper,6,,,,,,,,2016,6,6,215415,750185
19,NN000454,NN0045,24/05/2016,Chequered Skipper,15,,,,,,,,2016,5,24,200050,745450
20,NN064400,NN0640,08/06/2016,Chequered Skipper,2,,,,,,,,2016,6,8,206450,740050
21,NN074401,NN0740,14/06/2016,Chequered Skipper,2,,,,,,,,2016,6,14,207450,740150
22,NN075402,NN0740,08/06/2016,Chequered Skipper,1,,,,,,,,2016,6,8,207550,740250
23,NN075402,NN0740,24/06/2016,Chequered Skipper,1,,,,,,,,2016,6,24,207550,740250
24,NN080405,NN0840,18/06/2016,Chequered Skipper,1,,,,,,,,2016,6,18,208050,740550
25,NN054381,NN0538,08/06/2016,Chequered Skipper,1,,,,,,,,2016,6,8,205450,738150
26,NN054381,NN0538,14/06/2016,Chequered Skipper,1,,,,,,,,2016,6,14,205450,738150
27,NN054392,NN0539,14/06/2016,Chequered Skipper,1,,,,,,,,2016,6,14,205450,739250
28,NN054392,NN0539,18/06/2016,Chequered Skipper,1,,,,,,,,2016,6,18,205450,739250
29,NN059397,NN0539,08/06/2016,Chequered Skipper,1,,,,,,,,2016,6,8,205950,739750
30,NN059397,NN0539,24/06/2016,Chequered Skipper,1,,,,,,,,2016,6,24,205950,739750
31,NN123564,NN1256,14/06/2016,Chequered Skipper,1,,,,,,,,2016,6,14,212350,756450
32,NM78,,00/07/1907,Chequered Skipper,1,,,,,,,,1907,7,0,175000,785000
38,NN002457,NN0045,00/06/1975,Chequered Skipper,1,,,,,,,,1975,6,0,200250,745750
39,NN1689,NN1689,00/06/1975,Chequered Skipper,1,,,,,,,,1975,6,0,216500,789500
40,NN1578,NN1578,00/06/1975,Chequered Skipper,1,,,,,,,,1975,6,0,215500,778500
41,NM746693,NM7469,00/06/1975,Chequered Skipper,1,,,,,,,,1975,6,0,174650,769350
42,NM87,,00/06/1975,Chequered Skipper,1,,,,,,,,1975,6,0,185000,775000
75,NN011451,NN0145,00/06/1995,Chequered Skipper,2,,,,,,,,1995,6,0,201150,745150
76,NM917403,NM9140,00/05/1997,Chequered Skipper,0,,,,,,,,1997,5,0,191750,740350
77,NN053924,NN0592,00/05/1999,Chequered Skipper,B,,,,,,,,1999,5,0,205350,792450
78,NN275985,NN2798,00/06/2002,Chequered Skipper,1,,,,,,,,2002,6,0,227550,798550
79,NM9744,NM9744,00/06/2003,Chequered Skipper,1,,,,,,,,2003,6,0,197500,744500
80,NM9744,NM9744,00/06/2003,Chequered Skipper,1,,,,,,,,2003,6,0,197500,744500
81,NN278816,NN2781,00/06/2007,Chequered Skipper,0,,,,,,,,2007,6,0,227850,781650
82,NN110840,NN1184,00/06/2008,Chequered Skipper,1,,,,,,,,2008,6,0,211050,784050
83,NM726844,NM7284,00/06/2010,Chequered Skipper,20,,,,,,,,2010,6,0,172650,784450
84,NM830633,NM8363,00/06/2010,Chequered Skipper,0,,,,,,,,2010,6,0,183050,763350
85,NM906805,NM9080,00/06/2010,Chequered Skipper,0,,,,,,,,2010,6,0,190650,780550
86,NM787689,NM7868,00/06/2010,Chequered Skipper,0,,,,,,,,2010,6,0,178750,768950
87,NM788687,NM7868,00/06/2010,Chequered Skipper,0,,,,,,,,2010,6,0,178850,768750
88,NM735629,NM7362,00/06/2010,Chequered Skipper,0,,,,,,,,2010,6,0,173550,762950
89,NM748617,NM7461,00/06/2010,Chequered Skipper,0,,,,,,,,2010,6,0,174850,761750
90,NM820676,NM8267,00/06/2010,Chequered Skipper,0,,,,,,,,2010,6,0,182050,767650
91,NM792687,NM7968,00/06/2010,Chequered Skipper,0,,,,,,,,2010,6,0,179250,768750
92,NM793681,NM7968,00/06/2010,Chequered Skipper,0,,,,,,,,2010,6,0,179350,768150
93,NM794680,NM7968,00/06/2010,Chequered Skipper,0,,,,,,,,2010,6,0,179450,768050
94,NM811672,NM8167,00/06/2010,Chequered Skipper,0,,,,,,,,2010,6,0,181150,767250
95,NM819674,NM8167,00/06/2010,Chequered Skipper,B,,,,,,,,2010,6,0,181950,767450
96,NM924792,NM9279,00/06/2012,Chequered Skipper,8,,,,,,,,2012,6,0,192450,779250
183,NN17,,00/00/1950,Chequered Skipper,1,,,,,,,,1950,0,0,215000,775000
200,NN17,,00/00/1960,Chequered Skipper,1,,,,,,,,1960,0,0,215000,775000
205,NN18,,00/00/1967,Chequered Skipper,1,,,,,,,,1967,0,0,215000,785000
211,NN103914,NN1091,00/00/1970,Chequered Skipper,1,,,,,,,,1970,0,0,210350,791450
214,NN18,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,215000,785000
216,NN07,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,205000,775000
217,NN14,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,215000,745000
218,NN17,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,215000,775000
219,NN19,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,215000,795000
220,NN27,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,225000,775000
221,NM77,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,175000,775000
222,NM86,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,185000,765000
223,NM94,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,195000,745000
224,NM98,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,195000,785000
225,NN04,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,205000,745000
226,NN05,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,205000,755000
227,NN06,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,205000,765000
228,NN28,,00/00/1971,Chequered Skipper,1,,,,,,,,1971,0,0,225000,785000
232,NM88,,00/00/1977,Chequered Skipper,1,,,,,,,,1977,0,0,185000,785000
233,NM65,,00/00/1977,Chequered Skipper,1,,,,,,,,1977,0,0,165000,755000
234,NN1091,NN1091,00/00/1977,Chequered Skipper,1,,,,,,,,1977,0,0,210500,791500
235,NN1490,NN1490,00/00/1978,Chequered Skipper,1,,,,,,,,1978,0,0,214500,790500
236,NN003460,NN0046,00/00/1978,Chequered Skipper,1,,,,,,,,1978,0,0,200350,746050
237,NN0892,NN0892,00/00/1980,Chequered Skipper,1,,,,,,,,1980,0,0,208500,792500
238,NN18,,00/00/1980,Chequered Skipper,1,,,,,,,,1980,0,0,215000,785000
239,NN04,,00/00/1980,Chequered Skipper,1,,,,,,,,1980,0,0,205000,745000
240,NM98,,00/00/1980,Chequered Skipper,1,,,,,,,,1980,0,0,195000,785000
241,NN09,,00/00/1980,Chequered Skipper,1,,,,,,,,1980,0,0,205000,795000
242,NN19,,00/00/1983,Chequered Skipper,1,,,,,,,,1983,0,0,215000,795000
243,NN145801,NN1480,00/00/1985,Chequered Skipper,1,,,,,,,,1985,0,0,214550,780150
244,NN122776,NN1277,00/00/1985,Chequered Skipper,1,,,,,,,,1985,0,0,212250,777650
255,NM77,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,175000,775000
256,NM86,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,185000,765000
257,NM94,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,195000,745000
258,NM843645,NM8464,00/00/1894,Chequered Skipper,0,,,,,,,,1894,0,0,184350,764550
259,NM98,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,195000,785000
260,NM78,,00/00/1907,Chequered Skipper,0,,,,,,,,1907,0,0,175000,785000
261,NN1889,NN1889,00/00/1939,Chequered Skipper,0,,,,,,,,1939,0,0,218500,789500
262,NN18,,00/00/1939,Chequered Skipper,0,,,,,,,,1939,0,0,215000,785000
263,NN17,,00/00/1950,Chequered Skipper,0,,,,,,,,1950,0,0,215000,775000
264,NN17,,00/00/1960,Chequered Skipper,0,,,,,,,,1960,0,0,215000,775000
265,NN17,,00/00/1961,Chequered Skipper,0,,,,,,,,1961,0,0,215000,775000
266,NN09,,00/00/1961,Chequered Skipper,0,,,,,,,,1961,0,0,205000,795000
267,NN19,,00/00/1961,Chequered Skipper,0,,,,,,,,1961,0,0,215000,795000
268,NN1091,NN1091,00/00/1961,Chequered Skipper,0,,,,,,,,1961,0,0,210500,791500
269,NN0570,NN0570,00/00/1961,Chequered Skipper,0,,,,,,,,1961,0,0,205500,770500
270,NM9180,NM9180,00/00/1961,Chequered Skipper,0,,,,,,,,1961,0,0,191500,780500
271,NN04,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,205000,745000
272,NN09,,00/00/1961,Chequered Skipper,0,,,,,,,,1961,0,0,205000,795000
273,NN06,,00/00/1961,Chequered Skipper,0,,,,,,,,1961,0,0,205000,765000
274,NM98,,00/00/1961,Chequered Skipper,0,,,,,,,,1961,0,0,195000,785000
275,NN17,,00/00/1961,Chequered Skipper,0,,,,,,,,1961,0,0,215000,775000
276,NN05,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,205000,755000
277,NN1589,NN1589,00/00/1967,Chequered Skipper,0,,,,,,,,1967,0,0,215500,789500
278,NN18,,00/00/1967,Chequered Skipper,0,,,,,,,,1967,0,0,215000,785000
279,NN103914,NN1091,00/00/1970,Chequered Skipper,0,,,,,,,,1970,0,0,210350,791450
280,NN1091,NN1091,00/00/1970,Chequered Skipper,0,,,,,,,,1970,0,0,210500,791500
281,NN18,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,215000,785000
282,NN230767,NN2376,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,223050,776750
283,NN0570,NN0570,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,205500,770500
284,NN035488,NN0348,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,203550,748850
285,NN0046,NN0046,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,200500,746500
286,NN14,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,215000,745000
287,NN2281,NN2281,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,222500,781500
288,NN143786,NN1478,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,214350,778650
289,NN17,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,215000,775000
290,NN06,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,205000,765000
291,NN07,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,205000,775000
292,NN14,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,215000,745000
293,NN17,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,215000,775000
294,NN19,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,215000,795000
295,NN27,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,225000,775000
296,NN28,,00/00/1971,Chequered Skipper,0,,,,,,,,1971,0,0,225000,785000
297,NM590577,NM5957,00/00/1972,Chequered Skipper,0,,,,,,,,1972,0,0,159050,757750
298,NM9180,NM9180,00/00/1973,Chequered Skipper,0,,,,,,,,1973,0,0,191500,780500
299,NM97,,00/00/1973,Chequered Skipper,0,,,,,,,,1973,0,0,195000,775000
300,NN1091,NN1091,00/00/1974,Chequered Skipper,0,,,,,,,,1974,0,0,210500,791500
301,NN0046,NN0046,00/00/1974,Chequered Skipper,0,,,,,,,,1974,0,0,200500,746500
302,NN112456,NN1145,00/00/1974,Chequered Skipper,0,,,,,,,,1974,0,0,211250,745650
303,NN115445,NN1144,00/00/1974,Chequered Skipper,0,,,,,,,,1974,0,0,211550,744550
304,NN112456,NN1145,00/00/1974,Chequered Skipper,0,,,,,,,,1974,0,0,211250,745650
305,NM9278,NM9278,00/00/1974,Chequered Skipper,0,,,,,,,,1974,0,0,192500,778500
306,NN002457,NN0045,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,200250,745750
307,NN1589,NN1589,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,215500,789500
308,NN1091,NN1091,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,210500,791500
309,NN0570,NN0570,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,205500,770500
310,NN035488,NN0348,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,203550,748850
311,NM9180,NM9180,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,191500,780500
312,NN09,,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,205000,795000
313,NN14,,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,215000,745000
314,NM8072,NM8072,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,180500,772500
315,NN17,,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,215000,775000
316,NN105445,NN1044,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,210550,744550
317,NN1689,NN1689,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,216500,789500
318,NN1578,NN1578,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,215500,778500
319,NN046699,NN0469,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,204650,769950
320,NM915803,NM9180,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,191550,780350
321,NN113914,NN1191,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,211350,791450
322,NN139776,NN1377,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,213950,777650
323,NM746693,NM7469,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,174650,769350
324,NM87,,00/00/1975,Chequered Skipper,0,,,,,,,,1975,0,0,185000,775000
325,NN1091,NN1091,00/00/1976,Chequered Skipper,0,,,,,,,,1976,0,0,210500,791500
326,NN1970,NN1970,00/00/1976,Chequered Skipper,0,,,,,,,,1976,0,0,219500,770500
327,NN0570,NN0570,00/00/1976,Chequered Skipper,0,,,,,,,,1976,0,0,205500,770500
328,NN190618,NN1961,00/00/1976,Chequered Skipper,0,,,,,,,,1976,0,0,219050,761850
329,NM8072,NM8072,00/00/1976,Chequered Skipper,0,,,,,,,,1976,0,0,180500,772500
330,NN145682,NN1468,00/00/1976,Chequered Skipper,0,,,,,,,,1976,0,0,214550,768250
331,NN190618,NN1961,00/00/1976,Chequered Skipper,0,,,,,,,,1976,0,0,219050,761850
332,NN125913,NN1291,00/00/1976,Chequered Skipper,0,,,,,,,,1976,0,0,212550,791350
333,NM824742,NM8274,00/00/1976,Chequered Skipper,0,,,,,,,,1976,0,0,182450,774250
334,NN147894,NN1489,00/00/1977,Chequered Skipper,0,,,,,,,,1977,0,0,214750,789450
335,NN1589,NN1589,00/00/1977,Chequered Skipper,0,,,,,,,,1977,0,0,215500,789500
336,NN1091,NN1091,00/00/1977,Chequered Skipper,0,,,,,,,,1977,0,0,210500,791500
337,NM65,,00/00/1977,Chequered Skipper,0,,,,,,,,1977,0,0,165000,755000
338,NM88,,00/00/1977,Chequered Skipper,0,,,,,,,,1977,0,0,185000,785000
339,NN103914,NN1091,00/00/1977,Chequered Skipper,0,,,,,,,,1977,0,0,210350,791450
340,NN1091,NN1091,00/00/1977,Chequered Skipper,0,,,,,,,,1977,0,0,210500,791500
341,NN1490,NN1490,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,214500,790500
342,NN0046,NN0046,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,200500,746500
343,NN09,,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,205000,795000
344,NN1589,NN1589,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,215500,789500
345,NN257788,NN2578,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,225750,778850
346,NN1490,NN1490,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,214500,790500
347,NN230767,NN2376,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,223050,776750
348,NN0248,NN0248,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,202500,748500
349,NN1388,NN1388,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,213500,788500
350,NN09,,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,205000,795000
351,NN2281,NN2281,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,222500,781500
352,NN1689,NN1689,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,216500,789500
353,NN0592,NN0592,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,205500,792500
354,NN1491,NN1491,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,214500,791500
355,NN003460,NN0046,00/00/1978,Chequered Skipper,0,,,,,,,,1978,0,0,200350,746050
356,NM8464,NM8464,00/00/1979,Chequered Skipper,0,,,,,,,,1979,0,0,184500,764500
357,NN1970,NN1970,00/00/1979,Chequered Skipper,0,,,,,,,,1979,0,0,219500,770500
358,NN0892,NN0892,00/00/1980,Chequered Skipper,0,,,,,,,,1980,0,0,208500,792500
359,NN1589,NN1589,00/00/1980,Chequered Skipper,0,,,,,,,,1980,0,0,215500,789500
360,NN0248,NN0248,00/00/1980,Chequered Skipper,0,,,,,,,,1980,0,0,202500,748500
361,NM9180,NM9180,00/00/1980,Chequered Skipper,0,,,,,,,,1980,0,0,191500,780500
362,NN09,,00/00/1980,Chequered Skipper,0,,,,,,,,1980,0,0,205000,795000
363,NN1889,NN1889,00/00/1980,Chequered Skipper,0,,,,,,,,1980,0,0,218500,789500
364,NM9044,NM9044,00/00/1980,Chequered Skipper,0,,,,,,,,1980,0,0,190500,744500
365,NM94,,00/00/1980,Chequered Skipper,0,,,,,,,,1980,0,0,195000,745000
366,NN18,,00/00/1980,Chequered Skipper,0,,,,,,,,1980,0,0,215000,785000
367,NN04,,00/00/1980,Chequered Skipper,0,,,,,,,,1980,0,0,205000,745000
368,NM98,,00/00/1980,Chequered Skipper,0,,,,,,,,1980,0,0,195000,785000
369,NN09,,00/00/1980,Chequered Skipper,0,,,,,,,,1980,0,0,205000,795000
370,NM985633,NM9863,00/00/1981,Chequered Skipper,0,,,,,,,,1981,0,0,198550,763350
371,NM9661,NM9661,00/00/1981,Chequered Skipper,0,,,,,,,,1981,0,0,196500,761500
372,NM8464,NM8464,00/00/1981,Chequered Skipper,0,,,,,,,,1981,0,0,184500,764500
373,NN257788,NN2578,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,225750,778850
374,NN230767,NN2376,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,223050,776750
375,NM9661,NM9661,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,196500,761500
376,NN018818,NN0181,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,201850,781850
377,NM9180,NM9180,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,191500,780500
378,NN074360,NN0736,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,207450,736050
379,NN115445,NN1144,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,211550,744550
380,NN0178,NN0178,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,201500,778500
381,NN14,,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,215000,745000
382,NM8072,NM8072,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,180500,772500
383,NN074360,NN0736,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,207450,736050
384,NN105915,NN1091,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,210550,791550
385,NN032928,NN0392,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,203250,792850
386,NM9279,NM9279,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,192500,779500
387,NN1889,NN1889,00/00/1982,Chequered Skipper,0,,,,,,,,1982,0,0,218500,789500
388,NM8382,NM8382,00/00/1983,Chequered Skipper,0,,,,,,,,1983,0,0,183500,782500
389,NN235816,NN2381,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,223550,781650
390,NN1589,NN1589,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,215500,789500
391,NN1091,NN1091,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,210500,791500
392,NN1490,NN1490,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,214500,790500
393,NM9661,NM9661,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,196500,761500
394,NN0570,NN0570,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,205500,770500
395,NN0046,NN0046,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,200500,746500
396,NN1388,NN1388,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,213500,788500
397,NN026686,NN0268,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,202650,768650
398,NN09,,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,205000,795000
399,NM8072,NM8072,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,180500,772500
400,NN1889,NN1889,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,218500,789500
401,NM743605,NM7460,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,174350,760550
402,NM7362,NM7362,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,173500,762500
403,NN2281,NN2281,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,222500,781500
404,NN0268,NN0268,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,202500,768500
405,NM772698,NM7769,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,177250,769850
406,NM780709,NM7870,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,178050,770950
407,NM870783,NM8778,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,187050,778350
408,NN057708,NN0570,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,205750,770850
409,NM841643,NM8464,00/00/1984,Chequered Skipper,0,,,,,,,,1984,0,0,184150,764350
410,NN080770,NN0877,00/00/1985,Chequered Skipper,0,,,,,,,,1985,0,0,208050,777050
411,NM932800,NM9380,00/00/1985,Chequered Skipper,0,,,,,,,,1985,0,0,193250,780050
412,NM9180,NM9180,00/00/1985,Chequered Skipper,0,,,,,,,,1985,0,0,191500,780500
413,NM8072,NM8072,00/00/1985,Chequered Skipper,0,,,,,,,,1985,0,0,180500,772500
414,NN09,,00/00/1986,Chequered Skipper,0,,,,,,,,1986,0,0,205000,795000
415,NN0570,NN0570,00/00/1987,Chequered Skipper,0,,,,,,,,1987,0,0,205500,770500
416,NN026686,NN0268,00/00/1987,Chequered Skipper,0,,,,,,,,1987,0,0,202650,768650
417,NN155755,NN1575,00/00/1987,Chequered Skipper,0,,,,,,,,1987,0,0,215550,775550
418,NN1091,NN1091,00/00/1988,Chequered Skipper,0,,,,,,,,1988,0,0,210500,791500
419,NM9661,NM9661,00/00/1988,Chequered Skipper,0,,,,,,,,1988,0,0,196500,761500
420,NN0570,NN0570,00/00/1988,Chequered Skipper,0,,,,,,,,1988,0,0,205500,770500
421,NM9180,NM9180,00/00/1988,Chequered Skipper,0,,,,,,,,1988,0,0,191500,780500
422,NN026686,NN0268,00/00/1988,Chequered Skipper,0,,,,,,,,1988,0,0,202650,768650
423,NN2281,NN2281,00/00/1988,Chequered Skipper,0,,,,,,,,1988,0,0,222500,781500
424,NN17,,00/00/1988,Chequered Skipper,0,,,,,,,,1988,0,0,215000,775000
425,NM7362,NM7362,00/00/1988,Chequered Skipper,0,,,,,,,,1988,0,0,173500,762500
426,NM924781,NM9278,00/00/1989,Chequered Skipper,0,,,,,,,,1989,0,0,192450,778150
427,NM8364,NM8364,00/00/1995,Chequered Skipper,0,,,,,,,,1995,0,0,183500,764500
428,NM659453,NM6545,00/00/1995,Chequered Skipper,1,,,,,,,,1995,0,0,165950,745350
429,NM656593,NM6559,00/00/1995,Chequered Skipper,1,,,,,,,,1995,0,0,165650,759350
430,NN207513,NN2051,00/00/1996,Chequered Skipper,0,,,,,,,,1996,0,0,220750,751350
431,NN1589,NN1589,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,215500,789500
432,NN1091,NN1091,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,210500,791500
433,NN0942,NN0942,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,209500,742500
434,NN1490,NN1490,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,214500,790500
435,NM8464,NM8464,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,184500,764500
436,NM9640,NM9640,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,196500,740500
437,NN1970,NN1970,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,219500,770500
438,NM7267,NM7267,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,172500,767500
439,NM9661,NM9661,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,196500,761500
440,NN0046,NN0046,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,200500,746500
441,NM932800,NM9380,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,193250,780050
442,NM8570,NM8570,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,185500,770500
443,NN2989,NN2989,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,229500,789500
444,NN018818,NN0181,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,201850,781850
445,NM9180,NM9180,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,191500,780500
446,NN1388,NN1388,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,213500,788500
447,NN026686,NN0268,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,202650,768650
448,NN27,,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,225000,775000
449,NM8382,NM8382,00/00/1990,Chequered Skipper,0,,,,,,,,1990,0,0,183500,782500
